ad(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indisponível)
read(3, 0x6398e6586070, 4800)           = -1 EAGAIN (Recurso temporariamente indispon
